"Time","Year","Month","Glob","NHem","SHem","b24N.90N","b24S.24N","b90S.24S","b64N.90N","b44N.64N","b24N.44N","bEQU.24N","b24S.EQU","b44S.24S","b64S.44S","b90S.64S","Nino34"
1993-01-15,"1993","01",-0.001,-0.012,0.006,-0.011,-0.005,0.008,-0.003,0.005,-0.024,-0.014,0.003,0.008,0.013,-0.006,0.095
1993-02-15,"1993","02",-0.005,-0.028,0.01,-0.034,-0.009,0.014,-0.036,-0.007,-0.051,-0.02,0.001,0.018,0.019,-0.016,0.054
1993-03-15,"1993","03",-0.005,-0.03,0.011,-0.042,-0.007,0.015,-0.063,-0.017,-0.052,-0.015,0.002,0.024,0.019,-0.022,0.051
1993-04-15,"1993","04",-0.007,-0.028,0.007,-0.045,-0.003,0.01,-0.077,-0.026,-0.047,-0.006,-0.001,0.024,0.009,-0.021,0.035
1993-05-15,"1993","05",-0.009,-0.025,0.003,-0.047,0.001,0.007,-0.091,-0.019,-0.043,0.006,-0.004,0.015,0.003,-0.008,0.013
1993-06-15,"1993","06",-0.007,-0.011,-0.004,-0.029,0.004,-0.003,-0.062,-0.004,-0.025,0.016,-0.007,-0.001,-0.004,-0.004,-0.008
1993-07-15,"1993","07",-0.004,0.005,-0.01,-0.002,0.001,-0.009,-0.032,0.015,0.003,0.015,-0.012,-0.012,-0.008,-0.003,0.021
1993-08-15,"1993","08",0.001,0.019,-0.013,0.019,0.003,-0.013,-0.025,0.034,0.036,0.019,-0.012,-0.025,-0.012,0.036,0.036
1993-09-15,"1993","09",0.003,0.024,-0.013,0.029,0.003,-0.014,-0.009,0.036,0.048,0.016,-0.01,-0.031,-0.005,0.025,0.059
1993-10-15,"1993","10",0.005,0.026,-0.011,0.03,0.008,-0.014,-0.017,0.038,0.054,0.019,-0.003,-0.03,0,-0.016,0.05
1993-11-15,"1993","11",0.007,0.023,-0.005,0.031,0.006,-0.009,0.023,0.027,0.039,0.011,0.002,-0.02,0.003,-0.016,0.069
1993-12-15,"1993","12",0.006,0.012,0.002,0.018,0.004,0,0.025,0,0.028,0.003,0.006,-0.008,0.008,-0.003,0.054
1994-01-15,"1994","01",0.002,-0.009,0.009,-0.012,0.002,0.008,-0.058,-0.005,-0.003,-0.006,0.01,0.004,0.013,0.007,0.033
1994-02-15,"1994","02",-0.001,-0.024,0.013,-0.029,-0.006,0.017,-0.012,-0.018,-0.038,-0.017,0.005,0.019,0.017,0.008,-0.032
1994-03-15,"1994","03",-0.004,-0.032,0.015,-0.046,-0.005,0.019,-0.092,-0.025,-0.049,-0.014,0.004,0.027,0.018,-0.003,-0.045
1994-04-15,"1994","04",-0.005,-0.028,0.01,-0.046,-0.001,0.013,-0.084,-0.032,-0.043,-0.006,0.004,0.026,0.006,-0.004,-0.031
