Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.31,-.06,-.37,-.17,-.02,-.87,-.45,-.28,-.22,-.12,-.05,.05,.68
1881,-.09,-.18,-.01,-.31,.05,-.07,-.74,-.44,-.16,.02,.08,-.07,-.07,.60
1882,-.10,-.20,-.01,-.26,-.07,.02,-1.31,-.23,-.09,-.10,-.05,.02,.04,.63
1883,-.19,-.31,-.07,-.34,-.21,.00,-.21,-.57,-.23,-.25,-.17,-.02,.07,.50
1884,-.29,-.43,-.16,-.54,-.21,-.14,-1.19,-.57,-.41,-.24,-.19,-.20,-.02,.65
1885,-.31,-.39,-.24,-.56,-.15,-.26,-1.02,-.63,-.43,-.09,-.22,-.32,-.15,.83
1886,-.32,-.40,-.24,-.50,-.25,-.23,-1.10,-.47,-.41,-.25,-.26,-.23,-.20,.59
1887,-.35,-.40,-.30,-.45,-.32,-.28,-1.41,-.45,-.27,-.32,-.33,-.29,-.26,.32
1888,-.18,-.22,-.14,-.40,.07,-.30,-1.33,-.41,-.22,.06,.07,-.33,-.23,.16
1889,-.11,-.16,-.06,-.26,.04,-.17,-.71,-.19,-.22,-.01,.09,-.17,-.16,.45
1890,-.37,-.41,-.34,-.45,-.42,-.23,-1.15,-.54,-.26,-.34,-.50,-.19,-.28,.15
1891,-.24,-.26,-.22,-.40,-.13,-.22,-1.17,-.29,-.32,-.04,-.22,-.19,-.24,-.15
1892,-.27,-.37,-.17,-.39,-.31,-.08,-1.21,-.59,-.11,-.33,-.28,.01,-.22,.09
1893,-.32,-.44,-.20,-.46,-.39,-.08,-.82,-.50,-.35,-.42,-.37,.02,-.21,-.04
1894,-.31,-.38,-.24,-.31,-.36,-.25,-1.28,-.26,-.12,-.48,-.23,-.17,-.35,-.37
